state,city,lat,lon
MA,Chilmark,41.3575,-70.7416
MA,Clarksburg,42.6955,-73.08
MA,Clinton,42.4181,-71.6828
MA,Cohasset,42.2395,-70.8128
MA,Colrain,42.679,-72.7265
MA,Com/energy Services,42.36,-71.1
MA,Concord,42.4567,-71.3747
MA,Conway,42.5138,-72.7025
MA,Cotuit,41.6243,-70.4364
MA,Cummaquid,41.7014,-70.2772
MA,Cummington,42.4633,-72.9202
MA,Cushman,42.3671,-72.4646
MA,Cuttyhunk,41.4218,-70.9313
MA,Dalton,42.4744,-73.1633
MA,Danvers,42.5694,-70.9425
MA,Dartmouth,41.5923,-70.9969
MA,Dedham,42.2118,-71.1265
MA,Deerfield,42.5406,-72.6072
MA,Dennis,41.7322,-70.1911
MA,Dennis Port,41.6649,-70.1327
MA,Dennisport,41.6649,-70.1327
MA,Devens,42.5385,-71.6115
MA,Dighton,41.8125,-71.1427
MA,Dorchester,42.2959,-71.0738
MA,Dorchester Center,42.2918,-71.0717
MA,Dorchestr Ctr,42.2918,-71.0717
MA,Douglas,42.0528,-71.7509
MA,Dover,42.2362,-71.2854
MA,Dracut,42.6764,-71.3186
MA,Drury,42.6427,-72.9862
MA,Dudley,42.0489,-71.8932
MA,Dudley Hill,42.0521,-71.8486
MA,Dunstable,42.6739,-71.4952
MA,Duxbury,42.0052,-70.7089
MA,E Arlington,42.4202,-71.1565
MA,E Bridgewater,42.0315,-70.945
MA,E Bridgewtr,42.0315,-70.945
MA,E Brookfield,42.2193,-72.0481
MA,E Cambridge,42.3687,-71.0836
MA,E Falmouth,41.5968,-70.5671
MA,E Hampton,42.2668,-72.669
MA,E Harwich,41.7008,-70.0579
MA,E Longmeadow,42.1189,-72.5552
MA,E Mansfield,42.02,-71.17
MA,E Princeton,42.46,-71.89
MA,E Sandwich,41.7283,-70.44
MA,E Templeton,42.5631,-72.037
MA,E Wareham,41.7682,-70.6532
MA,E Watertown,42.37,-71.1773
MA,Ea Falmouth,41.5968,-70.5671
MA,East Arlington,42.4202,-71.1565
MA,East Boston,42.3571,-71.0429
MA,East Bridgewater,42.0315,-70.945
MA,East Brookfield,42.2193,-72.0481
MA,East Cambridge,42.3687,-71.0836
MA,East Dennis,41.7426,-70.162
MA,East Douglas,42.0528,-71.7509
MA,East Falmouth,41.5968,-70.5671
MA,East Freetown,41.7635,-70.9677
MA,East Harwich,41.7008,-70.0579
MA,East Longmeadow,42.1189,-72.5552
MA,East Lynn,42.4889,-70.9647
MA,East Mansfield,42.02,-71.17
MA,East Orleans,41.7843,-69.962
MA,East Otis,42.1909,-73.0517
MA,East Princeton,42.46,-71.89
MA,East Sandwich,41.7283,-70.44
MA,East Taunton,41.8736,-71.0192
MA,East Templeton,42.5631,-72.037
MA,East Walpole,42.1532,-71.2179
MA,East Wareham,41.7682,-70.6532
MA,East Watertown,42.37,-71.1773
MA,East Weymouth,42.214,-70.9203
MA,Eastham,41.8408,-69.9849
MA,Easthampton,42.2668,-72.669
MA,Easton,42.0235,-71.1324
MA,Edgartown,41.3889,-70.5339
MA,Egremont,42.1959,-73.3607
MA,Elmwood,42.0098,-70.962
MA,Erving,42.6076,-72.4292
MA,Essex,42.6286,-70.7828
MA,Everett,42.4112,-71.0514
MA,Fairhaven,41.6409,-70.8896
MA,Fall River,41.6971,-71.1521
MA,Falmouth,41.5475,-70.6336
MA,Fayville,42.2934,-71.5028
MA,Feeding Hills,42.0718,-72.6751
MA,Fiskdale,42.0816,-72.1361
MA,Fitchburg,42.5796,-71.8031
MA,Florence,42.3219,-72.6928
MA,Florida,42.6955,-73.08
MA,Forestdale,41.6827,-70.5143
MA,Foxboro,42.0649,-71.2441
MA,Foxborough,42.0649,-71.2441
MA,Framingham,42.3844,-71.4475
MA,Franklin,42.0935,-71.4058
MA,Gardner,42.574,-71.9898
MA,Gay Head,41.3575,-70.7416
MA,Georgetown,42.7281,-70.9822
MA,Gilbertville,42.3322,-72.1986
MA,Gill,42.6404,-72.4995
MA,Glendale,42.2793,-73.3435
MA,Gloucester,42.6184,-70.6671
MA,Goshen,42.4404,-72.7995
MA,Grafton,42.2004,-71.6868
MA,Granby,42.2557,-72.52
MA,Granville,42.1127,-72.952
MA,Great Barrington,42.1959,-73.3607
MA,Green Harbor,42.0696,-70.6491
MA,Greenbush,42.1793,-70.7495
MA,Greenfield,42.5618,-72.6239
MA,Groton,42.6116,-71.5691
MA,Grove Hall,42.2973,-71.0745
MA,Groveland,42.753,-71.027
MA,Gt Barrington,42.1959,-73.3607
MA,Hadley,42.3606,-72.5715
MA,Halifax,42.0002,-70.8448
MA,Hamilton,42.6354,-70.8791
MA,Hampden,42.0648,-72.4318
MA,Hancock,42.5173,-73.2282
MA,Hanover,42.1176,-70.8366
MA,Hanscom AFB,42.4631,-71.2851
MA,Hanson,42.0616,-70.8651
MA,Hardwick,42.3049,-72.2418
MA,Harvard,42.4986,-71.5753
MA,Harvard Sq,42.3751,-71.1056
MA,Harvard Square,42.3751,-71.1056
MA,Harwich,41.7008,-70.0579
MA,Harwich Port,41.6703,-70.0722
MA,Hatchville,41.5968,-70.5671
MA,Hatfield,42.3844,-72.6167
MA,Hathorne,42.5862,-70.9745
MA,Haverhill,42.7634,-71.074
MA,Hawley,42.608,-72.8901
MA,Haydenville,42.3818,-72.7032
MA,Heath,42.6853,-72.8391
MA,Hingham,42.2136,-70.8882
MA,Hinsdale,42.4298,-73.0724
MA,Holbrook,42.1464,-71.0083
MA,Holden,42.342,-71.8414
MA,Holland,42.0403,-72.1544
MA,Holliston,42.2026,-71.4361
MA,Holyoke,42.2032,-72.6212
MA,Hopedale,42.1268,-71.5376
MA,Hopkinton,42.219,-71.5302
MA,Housatonic,42.2653,-73.3745
MA,Hubbardston,42.4865,-72.0012
MA,Hudson,42.3918,-71.5609
MA,Hull,42.2853,-70.8754
MA,Humarock,42.1428,-70.6935
MA,Huntington,42.2653,-72.8733
MA,Hyannis,41.6601,-70.2967
MA,Hyannis Port,41.635,-70.3063
MA,Hyde Park,42.2472,-71.1316
MA,Indian Orch,42.1532,-72.505
MA,Indian Orchard,42.1532,-72.505
MA,Ipswich,42.6809,-70.8494
MA,Jamaica Plain,42.3126,-71.1115
MA,Jefferson,42.3755,-71.8706
MA,Kates Corner,42.5911,-71.3556
MA,Kingston,41.995,-70.741
MA,Lake Pleasant,42.5566,-72.5181
MA,Lakeville,41.8417,-70.9539
MA,Lancaster,42.451,-71.6868
MA,Lanesborough,42.5149,-73.2105
MA,Lawrence,42.7044,-71.1636
MA,Lee,42.2595,-73.2148
MA,Leeds,42.3543,-72.7034
MA,Leicester,42.237,-71.9188
MA,Lenox,42.3642,-73.2713
MA,Lenox Dale,42.3386,-73.2509
MA,Leominster,42.5274,-71.7563
MA,Leverett,42.4682,-72.4993
MA,Lexington,42.4494,-71.2216
MA,Leyden,42.6483,-72.6004
MA,Lincoln,42.4217,-71.3137
MA,Linwood,42.0973,-71.6448
MA,Littleton,42.5401,-71.4877
MA,Longmeadow,42.1107,-72.5862
MA,Lowell,42.6409,-71.3176
MA,Ludlow,42.1728,-72.471
MA,Lunenburg,42.5884,-71.7266
MA,Lynn,42.4685,-70.9584
MA,Lynnfield,42.5327,-71.0339
MA,Malden,42.4291,-71.0605
MA,Manchaug,42.0945,-71.7476
MA,Manchester,42.5796,-70.7674
MA,Manchester By The Sea,42.5796,-70.7674
MA,Manomet,41.8882,-70.581
MA,Mansfield,42.0206,-71.1939
MA,Marblehead,42.4984,-70.8653
MA,Marion,41.7095,-70.7613
MA,Marlborough,42.3509,-71.5434
MA,Marshfield,42.1017,-70.6754
MA,Marshfield Hills,42.1512,-70.7341
MA,Marshfld Hls,42.1512,-70.7341
MA,Marstons Mills,41.6703,-70.4163
